rank,topic,url,ease_of_reading,sentence_level_sentiment,positive_sentiment,negative_sentiment,sentence_level_objectivity,bias,bias_label,credibility,trust_metric,google_page_rank,alexa_reach_rank,domain,content_length
81,Immigration,https://news.yahoo.com/trump-campaign-kicks-off-catholic-152220272.html,100.0,12.61,11.385664682539682,1.2235449735449737,73.11,100,Left,87.5,95.0,8,8.0,news.yahoo.com,5938
82,Immigration,https://www.politico.com/news/2020/03/24/coronavirus-immigration-detainees-147721,40.0,11.34,10.371098200045568,0.9649122807017544,72.26,100,Right,100.0,74.0,8,941.0,politico.com,3657
83,Immigration,https://www.politico.com/news/2020/03/26/immigration-jail-coronavirus-151343,40.0,3.74,0.10416666666666671,3.6404320987654324,64.57,50,Partially Right,100.0,74.0,8,941.0,politico.com,2124
84,Immigration,https://www.politico.com/news/2020/03/15/advocates-immigration-democratic-debate-130345,80.0,15.48,11.828208556149733,3.6550802139037435,67.28,100,Left,100.0,74.0,8,941.0,politico.com,4848
86,Immigration,https://www.politico.com/news/2020/03/17/anger-virus-dangers-immigration-courts-134709,80.0,7.88,7.443401405357927,0.43478260869565216,69.0,100,Left,100.0,74.0,8,941.0,politico.com,3271
87,Immigration,https://abcnews.go.com/Politics/wireStory/lady-pushes-back-critics-tennis-tweet-69454789,100.0,18.61,18.397727272727273,0.20833333333333343,79.22,100,Left,82.5,86.0,9,1130.0,abcnews.go.com,273
88,Immigration,https://www.npr.org/sections/coronavirus-live-updates/2020/04/03/826280607/some-undocumented-domestic-workers-slip-through-holes-in-coronavirus-safety-net,100.0,6.92,0.4166666666666667,6.50297619047619,79.72,50,Partially Left,100.0,84.0,8,521.0,npr.org,4187
89,Immigration,https://www.politico.com/news/2020/03/18/ice-to-scale-back-arrests-during-coronavirus-pandemic-136800,100.0,15.56,15.555555555555555,0.0,53.89,100,Left,100.0,74.0,8,941.0,politico.com,273
90,Immigration,https://time.com/5798958/melania-trump-white-house-tennis-pavilion/,100.0,1.67,0.0,1.6666666666666663,91.67,50,Partially Left,95.0,64.0,8,1028.0,time.com,273
91,Immigration,https://gizmodo.com/creepy-face-recognition-firm-clearview-ai-sure-has-a-lo-1842740604,80.0,14.6,9.412004662004662,5.1923076923076925,65.84,100,Left,75.0,60.0,8,529.0,gizmodo.com,5686
92,Immigration,https://www.usatoday.com/story/news/health/2020/03/24/coronavirus-updates-olympics-fauci-stimulus-bill-wuhan-travel-rule/2901941001/,80.0,13.37,10.562499490465594,2.805287540457033,71.65,100,Right,100.0,84.0,8,363.0,usatoday.com,8190
